Species,Name,Current,RCP2.6,RCP2.6CSH,Type1,RCP6.0,RCP6.0CSH,Type2,RCP8.5,RCP8.5CSH,Type3
sp270,Aeschynanthus wardii,109,59,-0.46,VU,41,-0.62,EN,48,-0.56,EN
sp271,Aesculus assamica,873,1013,0.16,LR,1070,0.23,LR,1119,0.28,LR
sp272,Aesculus chinensis,1681,2721,0.62,LR,2480,0.48,LR,2232,0.33,LR
sp273,Aesculus chinensis var. wilsonii,1815,1666,-0.08,LR,1265,-0.3,VU,1072,-0.41,VU
sp274,Afgekia filipes,538,769,0.43,LR,842,0.57,LR,885,0.64,LR
sp275,Aganope latifolia,112,47,-0.58,EN,44,-0.61,EN,430,2.84,LR
sp276,Aganope thyrsiflora,426,605,0.42,LR,754,0.77,LR,1185,1.78,LR
sp277,Aganosma cymosa,400,882,1.21,LR,865,1.16,LR,654,0.64,LR
sp278,Aganosma marginata,68,39,-0.43,VU,37,-0.46,VU,170,1.5,LR
sp279,Aganosma schlechteriana,1265,1866,0.48,LR,2048,0.62,LR,2210,0.75,LR
sp280,Aganosma siamensis,855,1017,0.19,LR,969,0.13,LR,1468,0.72,LR
sp281,Agapetes angulata,134,2242,15.73,LR,2517,17.78,LR,757,4.65,LR
sp282,Agapetes anonyma,161,1372,7.52,LR,1658,9.3,LR,196,0.22,LR
sp283,Agapetes burmanica,292,2520,7.63,LR,2596,7.89,LR,1224,3.19,LR
sp284,Agapetes buxifolia,50,183,2.66,LR,289,4.78,LR,161,2.22,LR
sp285,Agapetes camelliifolia,123,526,3.28,LR,482,2.92,LR,76,-0.38,VU
sp286,Agapetes ciliata,146,1873,11.83,LR,2007,12.75,LR,906,5.21,LR
sp287,Agapetes discolor,137,1401,9.23,LR,1527,10.15,LR,190,0.39,LR
sp288,Agapetes epacridea,127,658,4.18,LR,634,3.99,LR,94,-0.26,LR
sp289,Agapetes flava,155,1045,5.74,LR,1118,6.21,LR,223,0.44,LR
